Tiempo (min),Temperatura_Vaso_5mm (C),Temperatura_Vaso_3mm (C),Temperatura_Vaso_1mm (C)
0.0,37.01357406218045,37.01332988963907,37.01332988963907
2.5,91.20003415821034,89.28820214853025,99.38768378853024
5.0,93.83253548911046,91.82831014749,102.41853714749703
7.5,94.44218612048913,92.357525,103.12056757724878
10.0,94.62108754938538,92.518537,103.30220118154881
