Tiempo (min),Temperatura_Vaso_5mm (C),Temperatura_Vaso_3mm (C),Temperatura_Vaso_1mm (C)
0.0,37.01357406218045,37.01343745229815,37.01332988963907
2.5,99.25661184628018,99.78851398109765,99.38768378853024
5.0,102.28051861732422,102.48551032319796,102.41853714749703
7.5,102.98079064649181,103.1450506874948,103.12056757724878
10.0,103.16208754938538,103.32238392224195,103.30220118154881
